name,Band A (6/9),Band B (7/9),Band C (8/9),Band D (9/9),Band E (11/9),Band F (13/9),Band G (15/9),Band H (18/9),Council
Adwell,1490.72,1739.17,1987.63,2236.08,2732.99,3229.9,3726.8,4472.16,5
Aston Rowant,1535.71,1791.65,2047.61,2303.56,2815.47,3327.37,3839.27,4607.12,5
Aston Tirrold,1530.52,1785.6,2040.7,2295.78,2805.96,3316.13,3826.3,4591.56,5
Aston Upthorpe,1530.52,1785.6,2040.7,2295.78,2805.96,3316.13,3826.3,4591.56,5
Beckley and Stowood,1596.11,1862.13,2128.15,2394.17,2926.21,3458.25,3990.28,4788.34,5
Benson,1589.77,1854.72,2119.69,2384.65,2914.58,3444.5,3974.42,4769.3,5
Berinsfield,1632.59,1904.69,2176.79,2448.89,2993.09,3537.29,4081.48,4897.78,5
Berrick Salome,1525.99,1780.31,2034.65,2288.98,2797.65,3306.31,3814.97,4577.96,5
Binfield Heath,1533.76,1789.38,2045.02,2300.64,2811.9,3323.15,3834.4,4601.28,5
Bix and Assendon,1515.61,1768.21,2020.82,2273.42,2778.63,3283.84,3789.03,4546.84,5
Brightwell Baldwin,1498.34,1748.06,1997.79,2247.51,2746.96,3246.41,3745.85,4495.02,5
Brightwell-cum-Sotwell,1530.83,1785.96,2041.11,2296.24,2806.52,3316.8,3827.07,4592.48,5
Britwell Salome,1497.03,1746.53,1996.04,2245.54,2744.55,3243.56,3742.57,4491.08,5
Chalgrove,1568.61,1830.05,2091.49,2352.92,2875.79,3398.67,3921.53,4705.84,5
Checkendon,1556.34,1815.73,2075.12,2334.51,2853.29,3372.08,3890.85,4669.02,5
Chinnor,1577.19,1840.05,2102.92,2365.78,2891.51,3417.24,3942.97,4731.56,5
Cholsey,1565.51,1826.42,2087.35,2348.26,2870.1,3391.94,3913.77,4696.52,5
Clifton Hampden,1528.39,1783.11,2037.85,2292.58,2802.05,3311.51,3820.97,4585.16,5
Crowell,1490.72,1739.17,1987.63,2236.08,2732.99,3229.9,3726.8,4472.16,5
Crowmarsh,1529.95,1784.94,2039.94,2294.93,2804.92,3314.91,3824.88,4589.86,5
Cuddesdon and Denton,1521.1,1774.61,2028.14,2281.65,2788.69,3295.72,3802.75,4563.3,5
Culham,1580.18,1843.54,2106.91,2370.27,2897,3423.73,3950.45,4740.54,5
Cuxham with Easington,1490.72,1739.17,1987.63,2236.08,2732.99,3229.9,3726.8,4472.16,5
Didcot,1579.55,1842.81,2106.07,2369.33,2895.85,3422.37,3948.88,4738.66,5
Dorchester,1553.67,1812.61,2071.56,2330.5,2848.39,3366.28,3884.17,4661,5
Drayton St Leonard,1509.87,1761.51,2013.16,2264.8,2768.09,3271.38,3774.67,4529.6,5
East Hagbourne,1532.23,1787.59,2042.97,2298.34,2809.09,3319.83,3830.57,4596.68,5
Elsfield,1504.55,1755.31,2006.07,2256.83,2758.35,3259.87,3761.38,4513.66,5
Ewelme,1544.87,1802.35,2059.83,2317.31,2832.27,3347.23,3862.18,4634.62,5
Eye and Dunsden,1551.32,1809.87,2068.43,2326.98,2844.09,3361.2,3878.3,4653.96,5
Forest Hill with Shotover,1522.55,1776.31,2030.07,2283.83,2791.35,3298.87,3806.38,4567.66,5
Garsington,1515.15,1767.67,2020.2,2272.72,2777.77,3282.82,3787.87,4545.44,5
Goring,1553.33,1812.22,2071.11,2330,2847.78,3365.56,3883.33,4660,5
Goring Heath,1517.35,1770.23,2023.13,2276.02,2781.81,3287.59,3793.37,4552.04,5
Great Haseley,1530.37,1785.43,2040.5,2295.56,2805.69,3315.82,3825.93,4591.12,5
Great Milton,1534.15,1789.83,2045.53,2301.22,2812.61,3323.99,3835.37,4602.44,5
Harpsden,1522.65,1776.42,2030.2,2283.97,2791.52,3299.07,3806.62,4567.94,5
Henley-on-Thames,1594.19,1859.88,2125.59,2391.28,2922.68,3454.08,3985.47,4782.56,5
Highmoor,1539.79,1796.41,2053.05,2309.68,2822.95,3336.21,3849.47,4619.36,5
Holton,1558.35,1818.07,2077.8,2337.52,2856.97,3376.42,3895.87,4675.04,5
Horspath,1549.37,1807.59,2065.83,2324.05,2840.51,3356.97,3873.42,4648.1,5
Ipsden,1529.07,1783.92,2038.77,2293.61,2803.3,3313,3822.68,4587.22,5
Kidmore End,1534.82,1790.62,2046.43,2302.23,2813.84,3325.45,3837.05,4604.46,5
Lewknor,1530.76,1785.88,2041.02,2296.14,2806.4,3316.65,3826.9,4592.28,5
Little Milton,1534.17,1789.87,2045.57,2301.26,2812.65,3324.05,3835.43,4602.52,5
Little Wittenham,1490.72,1739.17,1987.63,2236.08,2732.99,3229.9,3726.8,4472.16,5
Long Wittenham,1535.33,1791.21,2047.11,2302.99,2814.77,3326.55,3838.32,4605.98,5
Mapledurham,1520.72,1774.17,2027.63,2281.08,2787.99,3294.9,3801.8,4562.16,5
Marsh Baldon,1539.43,1796,2052.58,2309.15,2822.3,3335.45,3848.58,4618.3,5
Moulsford,1563.81,1824.45,2085.09,2345.72,2866.99,3388.27,3909.53,4691.44,5
Nettlebed,1550.62,1809.05,2067.5,2325.93,2842.81,3359.68,3876.55,4651.86,5
Newington,1536.77,1792.9,2049.03,2305.16,2817.42,3329.68,3841.93,4610.32,5
North Moreton,1541.85,1798.82,2055.8,2312.77,2826.72,3340.67,3854.62,4625.54,5
Nuffield,1512.86,1765,2017.15,2269.29,2773.58,3277.87,3782.15,4538.58,5
Nuneham Courtenay,1531.13,1786.32,2041.51,2296.7,2807.08,3317.46,3827.83,4593.4,5
Pishill with Stonor,1513.08,1765.26,2017.44,2269.62,2773.98,3278.35,3782.7,4539.24,5
Pyrton,1506.29,1757.33,2008.39,2259.43,2761.53,3263.63,3765.72,4518.86,5
Rotherfield Greys,1513.12,1765.3,2017.5,2269.68,2774.06,3278.43,3782.8,4539.36,5
Rotherfield Peppard,1522.12,1775.8,2029.5,2283.18,2790.56,3297.93,3805.3,4566.36,5
Sandford-on-Thames,1577.41,1840.3,2103.21,2366.11,2891.92,3417.72,3943.52,4732.22,5
Shiplake,1513.04,1765.21,2017.39,2269.56,2773.91,3278.26,3782.6,4539.12,5
Shirburn,1505.53,1756.45,2007.38,2258.3,2760.15,3262,3763.83,4516.6,5
Sonning Common,1595.51,1861.42,2127.35,2393.26,2925.1,3456.94,3988.77,4786.52,5
South Moreton,1556.33,1815.71,2075.11,2334.49,2853.27,3372.05,3890.82,4668.98,5
South Stoke,1561.75,1822.03,2082.33,2342.62,2863.21,3383.79,3904.37,4685.24,5
Stadhampton,1542.27,1799.31,2056.36,2313.4,2827.49,3341.58,3855.67,4626.8,5
Stanton St John,1571.01,1832.84,2094.68,2356.51,2880.18,3403.85,3927.52,4713.02,5
Stoke Row,1526.18,1780.54,2034.91,2289.27,2798,3306.73,3815.45,4578.54,5
Stoke Talmage,1490.72,1739.17,1987.63,2236.08,2732.99,3229.9,3726.8,4472.16,5
Swyncombe,1520.35,1773.74,2027.14,2280.53,2787.32,3294.11,3800.88,4561.06,5
Sydenham,1569.2,1830.73,2092.27,2353.8,2876.87,3399.94,3923,4707.6,5
Tetsworth,1550.59,1809.01,2067.45,2325.88,2842.75,3359.61,3876.47,4651.76,5
Thame,1625.01,1895.85,2166.69,2437.52,2979.19,3520.87,4062.53,4875.04,5
Tiddington with Albury,1525.2,1779.4,2033.6,2287.8,2796.2,3304.61,3813,4575.6,5
Toot Baldon,1532.83,1788.3,2043.78,2299.25,2810.2,3321.15,3832.08,4598.5,5
Towersey,1550.21,1808.58,2066.95,2325.32,2842.06,3358.8,3875.53,4650.64,5
Wallingford,1617.05,1886.55,2156.07,2425.57,2964.59,3503.61,4042.62,4851.14,5
Warborough,1591.43,1856.67,2121.91,2387.15,2917.63,3448.11,3978.58,4774.3,5
Waterperry with Thomley,1543.45,1800.68,2057.93,2315.17,2829.66,3344.14,3858.62,4630.34,5
Waterstock,1497.14,1746.66,1996.19,2245.71,2744.76,3243.81,3742.85,4491.42,5
Watlington,1575.09,1837.6,2100.12,2362.63,2887.66,3412.69,3937.72,4725.26,5
West Hagbourne,1536.17,1792.2,2048.23,2304.26,2816.32,3328.38,3840.43,4608.52,5
Wheatfield,1490.72,1739.17,1987.63,2236.08,2732.99,3229.9,3726.8,4472.16,5
Wheatley,1550.19,1808.56,2066.93,2325.29,2842.02,3358.76,3875.48,4650.58,5
Whitchurch on Thames,1536.59,1792.69,2048.79,2304.89,2817.09,3329.29,3841.48,4609.78,5
Woodcote,1570.54,1832.29,2094.06,2355.81,2879.33,3402.84,3926.35,4711.62,5
Woodeaton,1505.13,1755.99,2006.85,2257.7,2759.41,3261.13,3762.83,4515.4,5
