"","Local authority name","Ward name","1995-12-31","1996-03-31","1996-06-30","1996-09-30","1996-12-31","1997-03-31","1997-06-30","1997-09-30","1997-12-31","1998-03-31","1998-06-30","1998-09-30","1998-12-31","1999-03-31","1999-06-30","1999-09-30","1999-12-31","2000-03-31","2000-06-30","2000-09-30","2000-12-31","2001-03-31","2001-06-30","2001-09-30","2001-12-31","2002-03-31","2002-06-30","2002-09-30","2002-12-31","2003-03-31","2003-06-30","2003-09-30","2003-12-31","2004-03-31","2004-06-30","2004-09-30","2004-12-31","2005-03-31","2005-06-30","2005-09-30","2005-12-31","2006-03-31","2006-06-30","2006-09-30","2006-12-31","2007-03-31","2007-06-30","2007-09-30","2007-12-31","2008-03-31","2008-06-30","2008-09-30","2008-12-31","2009-03-31","2009-06-30","2009-09-30","2009-12-31","2010-03-31","2010-06-30","2010-09-30","2010-12-31","2011-03-31","2011-06-30","2011-09-30","2011-12-31","2012-03-31","2012-06-30","2012-09-30","2012-12-31","2013-03-31","2013-06-30","2013-09-30","2013-12-31","2014-03-31","2014-06-30","2014-09-30","2014-12-31","2015-03-31","2015-06-30","2015-09-30","2015-12-31","2016-03-31","2016-06-30","2016-09-30","2016-12-31","2017-03-31","2017-06-30","2017-09-30","2017-12-31","2018-03-31","2018-06-30","2018-09-30","2018-12-31","2019-03-31","2019-06-30","2019-09-30","2019-12-31","2020-03-31","2020-06-30","2020-09-30","2020-12-31","2021-03-31","2021-06-30","2021-09-30","2021-12-31","2022-03-31","2022-06-30","2022-09-30","2022-12-31","2023-03-31"
"1","Cherwell","Banbury Grimsbury and Hightown","44000","46000","46000","47000","47500","47500","50000","51000","55500","56995","58500","59995","62750","62950","62950","65975","68000","72500","77450","80000","84950","86250","88000","88925","89000","89000","93000","98250","106500","109250","117500","121975","126000","133000","133000","140000","140000","139000","141000","135750","142000","144750","145750","152725","154500","154000","155000","156447.5","159000","161752","163000","160632","159000","158000","146000","144000","140750","140500","144750","144500","140000","140000","139950","141000","145000","146750","145000","148000","152500","159500","160000","162000","162500","165000","167750","170000","172000","170000","168250","172250","177500","178750","186000","192500","190000","200000","198000","200000","211250","209000","214500","215000","208000","205000","195000","196750","205000","200000","200000","205000","195000","212000","225000","221500","225000","229500","225000","240000","240000","240000"
"2","Cherwell","Banbury Hardwick","44000","44000","45000","44500","45000","45000","46800","49050","51000","54000","56995","58500","59000","59000","59950","60000","64000","65500","70000","73500","78000","81500","84950","86000","90000","94000","99000","107750","115500","119725","132000","144975","156997.5","160000","161000","160000","159000","158000","165000","166000","162270","164950","162270","165000","170500","170000","170500","172000","171800","173750","175000","172500","163875","165000","158000","151000","155000","152000","165000","165000","180000","180000","180000","171000","158500","158475","158000","160000","167000","174000","180000","175000","180000","184250","190000","195000","195000","195000","195000","195000","208500","214375","227250","230000","237500","232000","236000","236000","230000","255997.5","255000","253750","257000","250000","240500","243000","247500","247500","250000","247500","252000","256750","267250","270000","270000","267500","256000","255000","255000","265000"
"3","Cherwell","Banbury Ruscote","42875","43000","42875","42875","41250","41750","43500","44600","47000","48500","50500","53000","54000","55000","58000","59000","64000","64000","67500","68500","73457.5","77500","79950","79950","80000","83500","88500","90000","97000","100000","105000","115000","119950","121500","120500","124500","127250","130000","132000","134500","135000","138000","139225","140000","141000","144000","147500","151500","155000","156500","157000","159000","154000","154000","140000","133850","134350","134000","139500","145000","145500","146000","143000","140000","139500","138500","142500","145000","145000","147000","149000","157000","160000","164000","160000","163000","169000","170000","175000","183500","185000","188000","191000","202250","205500","207500","210000","210000","211500","211500","210000","210000","210000","210000","210000","205000","200000","201500","205000","203000","215000","215000","215000","224000","230000","235000","240000","250000","255000","255000"
"4","Cherwell","Bicester East","56000","55995","55900","55000","54350","55750","58000","59000","61500","62000","63000","64000","66000","67000","69725","73000","77500","84000","84950","87500","88000","89000","94000","97500","99950","104997.5","109950","115000","124950","129000","134000","139000","135000","137000","140000","144000","151500","155500","157500","158497.5","157000","156225","157000","161000","164475","166000","169995","180000","185000","185000","186000","187250","184000","180000","172000","170000","172000","171500","172250","172000","175000","175000","175000","185000","180000","182500","180000","179250","180000","183500","184950","186500","198000","202750","217750","228750.5","230000","230000","232000","234250","245000","252500","265000","265000","274475","273950","272225","270000","270000","270000","270000","270500","280000","280000","293000","295000","300000","280000","270000","275000","277000","285000","298775","280500","285000","287000","285000","297000","310000","311000"
"5","Cherwell","Banbury Cross and Neithrop","43500","42500","44737","45750","47000","49125","51250","51500","52500","53250","54000","55000","54000","55000","55000","58250","62500","65000","69500","71250","76500","81000","85500","86950","88000","90000","91000","95000","109950","110000","114000","117750","121000","124500","130000","132000","135000","137500","145000","146250","154950","154475","157477","159500","158950","160000","160000","163000","163725","166000","169000","157000","156125","154500","150000","152500","151000","149500","152000","150000","157000","157975","161000","169500","159000","159000","158000","151000","151000","152000","153500","160000","160000","163000","166625","167750","173750","176000","176500","182250","184000","185000","189975","193500","196000","205500","217500","207500","217500","225000","227500","249995","245000","244025","243027.5","243027.5","243027.5","260000","261250","247000","236000","250000","250000","245000","250000","245000","246500","250000","250625","250000"
"6","Cherwell","Deddington","87250","90000","92500","107000","107750","109000","109500","111500","115000","115000","120000","124500","130000","139475","145000","149950","149975","149975","151000","159950","171475","174000","182000","177000","178000","180450","179475","198500","210500","217000","246250","249950","249972.5","249225","240000","250000","275000","279250","280000","263500","268750","265000","260000","275000","250000","255000","275000","284000","300000","296000","290875","283000","280000","281250","277500","283000","270000","285000","287500","307500","330000","330750","342500","350000","340000","331250","325000","295000","310000","312500","331750","325000","325000","330000","342000","360000","330000","331000","325000","322475","340000","349950","350000","375000","375000","375000","385000","385000","414000","420000","420000","425000","421000","425000","421000","416500","398475","374000","372000","382500","435000","475000","485000","484975","460000","450000","416500","450000","477500","480000"
"7","Cherwell","Kidlington East","63000","63000","63000","65500","66500","70000","72750","74475","76725","78500","83500","87000","88875","90000","91250","95000","99997.5","105000","115000","119995","120750","122250","126000","132000","130000","135000","143975","149997.5","165000","170000","170000","178000","176000","180000","186750","196000","210000","210000","205000","205000","209995","208250","210000","216000","225000","230000","236200","245000","245000","242955","240000","225000","218995","209000","205000","206000","215000","217475","226000","236000","234995","237500","240250","231250","227500","230000","229000","230000","235250","236750","245000","249950","250000","250000","259750.5","265000","270000","282500","282250","300000","315000","325000","347000","356500","347000","348750","337000","330000","332250","336000","338750","350000","357500","352000","350000","341000","327500","320000","325000","327000","338500","369750","366000","368750","364500","365500","368500","367000","390000","385000"
"8","Cherwell","Banbury Calthorpe and Easington","62000","64725.5","65500","66000","66000","69750","73000","73500","77000","79000","79725","80000","80000","81500","80000","84000","88500","90000","99000","103000","109500","112000","114000","117000","122000","122500","129000","135000","137250","148975","157500","163500","162000","162000","165000","167250","172500","175000","177000","178000","180000","184000","194000","190000","193500","193000","197250","200000","205000","210000","209500","209000","189000","186750","181500","185500","189475","190000","200000","201500","210000","205000","205000","205000","199000","197750","205000","207500","212997.5","215000","206000","210000","212000","215000","220000","227500","238000","249497.5","243000","248975","247750","250000","260000","267500","270000","282000","300000","285000","290475","295000","295000","305900","309750","308000","309375","305000","312000","312000","310000","305995","306000","310000","319995","323750","329995","335000","329995","337200","360000","364494"
"9","Cherwell","Fringford and Heyfords","91500","91500","105000","107975","107000","112500","112000","112000","116000","115000","119950","125000","121000","127750","125000","125000","146000","145000","154000","155500","151500","155500","173750","174000","186500","195000","185000","209000","211250","225000","245000","245000","249997.5","250000","260100","273500","275000","270000","265000","265000","250000","279950","303750","295000","295000","292250","292000","312000","341500","349500","362500","360000","300000","284300","295000","285000","285250","300000","300000","315053","325000","320106","315000","311250","345000","326750","328000","330000","310000","310000","310000","312750","320000","331497.5","330000","329995","345000","350000","394995","395999","375000","369950","362500","359950","368472.5","365000","369995","374995","384975","402972.5","405472.5","410000","405000","409472.5","410000","409950","395000","395000","390000","400000","425000","419000","412000","405000","400000","401750","410500","424500","437500","437600"
"10","Cherwell","Kidlington West","63000","63000","62250","65000","64000","66500","69500","71500","74995","75000","76500","77000","80000","81350","85000","88500","90000","95000","98000","102000","110000","113000","117000","122250","126000","136000","142000","154000","157500","160000","160000","161000","168000","174000","179725","192250","198000","198250","196000","187250","189250","196750","201000","205000","211500","214500","220000","235000","239950","240000","239950","228750","214256","207250","189000","191000","200000","210000","225000","225000","235000","228000","234995","238000","240000","237500","226000","230000","236000","240000","247475","241000","242000","246000","250000","273750","273750","275000","280000","289500","311250","325000","337500","345000","342500","343250","340750","327500","317000","325000","315000","315000","329500","316250","320250","325000","311250","308000","315000","305000","330000","360000","362500","360000","350000","349000","338500","349000","370000","380000"
