name,Council,Band A (6/9),Band B (7/9),Band C (8/9),Band D (9/9),Band E (11/9),Band F (13/9),Band G (15/9),Band H (18/9)
Adwell,South Oxfordshire District Council,,,,,,,,
Aston Rowant,South Oxfordshire District Council,,,,,,,,
Aston Tirrold,South Oxfordshire District Council,,,,,,,,
Aston Upthorpe,South Oxfordshire District Council,,,,,,,,
Beckley and Stowood,South Oxfordshire District Council,,,,,,,,
Benson,South Oxfordshire District Council,,,,,,,,
Berinsfield,South Oxfordshire District Council,,,,,,,,
Berrick Salome,South Oxfordshire District Council,,,,,,,,
Binfield Heath,South Oxfordshire District Council,,,,,,,,
Bix and Assendon,South Oxfordshire District Council,,,,,,,,
Brightwell Baldwin,South Oxfordshire District Council,,,,,,,,
