name,Band A (6/9),Band B (7/9),Band C (8/9),Band D (9/9),Band E (11/9),Band F (13/9),Band G (15/9),Band H (18/9)
ALVESCOT,1522.64,1776.4,2030.18,2283.95,2791.5,3299.04,3806.59,4567.9
"ASCOTT-UNDER-
WYCHW00D",1525.58,1779.84,2034.11,2288.37,2796.9,3305.43,3813.95,4576.74
ASTHAL,1492.59,1741.35,1990.12,2238.88,2736.41,3233.94,3731.47,4477.76
"ASTON,COTE,SHIFFORD &
CHIMNEY",1509.31,1760.86,2012.41,2263.96,2767.06,3270.17,3773.27,4527.92
BAMPTON,1556.94,1816.42,2075.92,2335.4,2854.38,3373.36,3892.34,4670.8
BLACK BOURTON,1550.34,1808.72,2067.12,2325.5,2842.28,3359.06,3875.84,4651
BLADON,1557.6,1817.2,2076.8,2336.4,2855.6,3374.8,3894,4672.8
BLENHEIM,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
BRIZE NORTON,1534.46,1790.2,2045.95,2301.69,2813.18,3324.67,3836.15,4603.38
BROADWELI,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
BRUERN,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
"BURFORD   TOWN
COUNCIL",1548.46,1806.54,2064.62,2322.69,2838.84,3355,3871.15,4645.38
"CARTERTON   TOWN
COUNCIL",1535.24,1791.11,2046.99,2302.86,2814.61,3326.36,3838.1,4605.72
CASSINGTON,1601.33,1868.21,2135.11,2401.99,2935.77,3469.54,4003.32,4803.98
CHADLINGTON,1539.24,1795.77,2052.32,2308.85,2821.93,3335.01,3848.09,4617.7
"CHARLBURY    TOWN
COUNCIL",1546.16,1803.84,2061.54,2319.23,2834.62,3350,3865.39,4638.46
CHASTLETON,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
CHILSON,1482.2,1729.23,1976.27,2223.3,2717.37,3211.44,3705.5,4446.6
"CHIPPING NORTON TOWN
COUNCIL",1563.16,1823.68,2084.21,2344.73,2865.78,3386.83,3907.89,4689.46
CHURCHILL &SARSDEN,1548,1805.99,2064,2321.99,2837.99,3353.99,3869.99,4643.98
CLANFIELD,1521.9,1775.54,2029.2,2282.84,2790.14,3297.44,3804.74,4565.68
COMBE,1505.78,1756.74,2007.71,2258.67,2760.6,3262.53,3764.45,4517.34
"CORNBURY&
WYCHWO0D",1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
CORNWELL,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
CRAWLEY,1498.09,1747.77,1997.45,2247.13,2746.49,3245.86,3745.22,4494.26
CURBRIDGE &LEW,1511.18,1763.04,2014.91,2266.77,2770.5,3274.23,3777.95,4533.54
DUCKLINGTON,1519.2,1772.4,2025.6,2278.8,2785.2,3291.6,3798,4557.6
ENSTONE,1523.92,1777.91,2031.9,2285.88,2793.85,3301.83,3809.8,4571.76
EYNSHAM,1558.71,1818.49,2078.28,2338.06,2857.63,3377.2,3896.77,4676.12
FAWLER,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
FIFIELD,1512.38,1764.44,2016.51,2268.57,2772.7,3276.83,3780.95,4537.14
FILKINS & BROUGHTON,1540.94,1797.75,2054.58,2311.4,2825.05,3338.69,3852.34,4622.8
FINSTOCK,1533.42,1788.99,2044.56,2300.13,2811.27,3322.41,3833.55,4600.26
FREELAND,1543.74,1801.03,2058.32,2315.61,2830.19,3344.77,3859.35,4631.22
FULBROOK,1495.61,1744.87,1994.15,2243.41,2741.95,3240.48,3739.02,4486.82
GLYMPTON,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
GRAFTON & RADCOT,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
GREAT TEW,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
HAILEY,1530.12,1785.13,2040.16,2295.17,2805.21,3315.25,3825.29,4590.34
HANBOROUGH,1526.08,1780.43,2034.78,2289.12,2797.81,3306.51,3815.2,4578.24
"HARDWICK WITH
YELFORD",1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
HEYTHROP,1486.39,1734.12,1981.85,2229.58,2725.04,3220.51,3715.97,4459.16
HOLWELL,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
IDBURY,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
KELMSCOTT,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
KENCOT,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
"KIDDINGTON WITH
ASTERLEIGH",1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
KINGHAM,1527.02,1781.51,2036.02,2290.52,2799.53,3308.53,3817.54,4581.04
LANGFORD,1501.62,1751.88,2002.16,2252.42,2752.96,3253.5,3754.04,4504.84
LEAFIELD,1597.45,1863.69,2129.93,2396.17,2928.65,3461.14,3993.62,4792.34
LITTLE FARINGDON,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
LITTLE TEW,1484.51,1731.92,1979.35,2226.76,2721.6,3216.43,3711.27,4453.52
LYNEHAM,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
"MILTON-UNDER-
WYCHWOOD",1518.96,1772.12,2025.28,2278.44,2784.76,3291.08,3797.4,4556.88
MINSTER LOVELL,1517.28,1770.16,2023.04,2275.92,2781.68,3287.44,3793.2,4551.84
NORTH LEIGH,1521.64,1775.24,2028.85,2282.45,2789.66,3296.87,3804.09,4564.9
NORTHMOOR,1494.64,1743.75,1992.86,2241.96,2740.17,3238.39,3736.6,4483.92
OVER NORTON,1568.49,1829.9,2091.32,2352.73,2875.56,3398.39,3921.22,4705.46
RAMSDEN,1558.98,1818.8,2078.64,2338.46,2858.12,3377.78,3897.44,4676.92
ROLLRIGHT,1512.32,1764.37,2016.43,2268.48,2772.59,3276.7,3780.8,4536.96
ROUSHAM,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
SALFORD,1516.74,1769.52,2022.32,2275.1,2780.68,3286.26,3791.84,4550.2
SANDFORD ST MARTIN,1518.39,1771.45,2024.52,2277.58,2783.71,3289.84,3795.97,4555.16
SHILTON,1493.26,1742.13,1991.01,2239.88,2737.63,3235.38,3733.14,4479.76
"SHIPTON-UNDER-
WYCHWOOD",1513.08,1765.25,2017.44,2269.61,2773.97,3278.33,3782.69,4539.22
SOUTH LEIGH,1515.32,1767.87,2020.43,2272.98,2778.09,3283.2,3788.3,4545.96
SPELSBURY,1515.61,1768.21,2020.81,2273.41,2778.61,3283.82,3789.02,4546.82
STANDLAKE,1505.78,1756.73,2007.7,2258.66,2760.59,3262.51,3764.44,4517.32
STANTON HARCOURT,1527.12,1781.64,2036.16,2290.68,2799.72,3308.76,3817.8,4581.36
STEEPLE BARTON,1499.75,1749.7,1999.67,2249.62,2749.54,3249.45,3749.37,4499.24
STONESFIELD,1512.66,1764.77,2016.88,2268.99,2773.21,3277.43,3781.65,4537.98
SWERFORD,1539.03,1795.53,2052.04,2308.54,2821.55,3334.56,3847.57,4617.08
SWINBROOK & WIDFORD,1490.5,1738.91,1987.33,2235.74,2732.57,3229.4,3726.24,4471.48
TACKLEY,1514.94,1767.43,2019.92,2272.41,2777.39,3282.37,3787.35,4544.82
TAYNTON,1509.44,1761,2012.58,2264.15,2767.3,3270.44,3773.59,4528.3
WESTCOT BARTON,1483.82,1731.11,1978.42,2225.72,2720.33,3214.93,3709.54,4451.44
WESTWELL,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
WITNEY TOWN COUNCIL,1594.15,1859.84,2125.53,2391.22,2922.6,3453.99,3985.37,4782.44
WOODSTOCK,1532.38,1787.78,2043.18,2298.57,2809.36,3320.16,3830.95,4597.14
WOOTTON,1512.24,1764.27,2016.32,2268.35,2772.43,3276.51,3780.59,4536.7
WORTON,1476.15,1722.17,1968.2,2214.22,2706.27,3198.32,3690.37,4428.44
