name,Band A (6/9),Band B (7/9),Band C (8/9),Band D (9/9),Band E (11/9),Band F (13/9),Band G (15/9),Band H (18/9)
Abingdon-on-Thames,1599.8,1866.43,2133.07,2399.7,2932.97,3466.24,3999.5,4799.4
Appleford-on-Thames,1584.94,1849.09,2113.25,2377.4,2905.71,3434.02,3962.34,4754.8
Appleton with Eaton,1544.25,1801.62,2059,2316.37,2831.12,3345.87,3860.62,4632.74
Ardington,1547.46,1805.36,2063.28,2321.18,2837,3352.82,3868.64,4642.36
Ashbury,1535.86,1791.83,2047.81,2303.78,2815.73,3327.68,3839.64,4607.56
Baulking,1505.74,1756.69,2007.65,2258.6,2760.51,3262.42,3764.34,4517.2
Besselsleigh,1499.32,1749.2,1999.09,2248.97,2748.74,3248.51,3748.29,4497.94
Blewbury,1598.4,1864.8,2131.2,2397.6,2930.4,3463.2,3996,4795.2
Botley and North Hinksey,1533.52,1789.11,2044.7,2300.28,2811.45,3322.63,3833.8,4600.56
Bourton,1515.46,1768.03,2020.61,2273.18,2778.33,3283.48,3788.64,4546.36
Buckland,1511.5,1763.42,2015.34,2267.25,2771.08,3274.92,3778.75,4534.5
Buscot,1518.4,1771.47,2024.54,2277.6,2783.73,3289.87,3796,4555.2
Charney Bassett,1547.64,1805.57,2063.52,2321.45,2837.33,3353.21,3869.09,4642.9
Childrey,1541.56,1798.48,2055.41,2312.33,2826.18,3340.03,3853.89,4624.66
Chilton,1520.93,1774.41,2027.91,2281.39,2788.37,3295.34,3802.32,4562.78
Coleshill,1509.75,1761.37,2013,2264.62,2767.87,3271.12,3774.37,4529.24
Compton Beauchamp,1497.69,1747.3,1996.92,2246.53,2745.76,3244.99,3744.22,4493.06
Cumnor,1519.4,1772.63,2025.87,2279.1,2785.57,3292.04,3798.5,4558.2
Denchworth,1505.28,1756.15,2007.04,2257.91,2759.67,3261.43,3763.19,4515.82
Drayton,1569.9,1831.54,2093.2,2354.84,2878.14,3401.44,3924.74,4709.68
East Challow,1561.07,1821.24,2081.43,2341.6,2861.96,3382.31,3902.67,4683.2
East Hanney,1578.36,1841.42,2104.48,2367.54,2893.66,3419.78,3945.9,4735.08
East Hendred,1552.18,1810.88,2069.58,2328.27,2845.66,3363.06,3880.45,4656.54
Eaton Hastings,1497.69,1747.3,1996.92,2246.53,2745.76,3244.99,3744.22,4493.06
